"","treatment","cohort","sofa_start","sofa_end","sens","psi","i_ci","s_ci","pvalue","n"
"17","rrt","all","0","24","rrt","0.0532417074153267","0.0411377853940494","0.0653456294366041","6.6093042802934e-18","34983"
"18","rrt","all","0","24","vasopressor","0.0302411828570369","0.0146410444344479","0.045841321279626","0.000144988594920267","19394"
"19","rrt","all","0","3","mech_vent","0.0923886433064066","0.0760661505956765","0.108711136017137","1.3415128677857e-28","15537"
"20","rrt","all","0","3","rrt","0.0750061144842913","0.0611796957020601","0.0888325332665226","2.09973901039729e-26","15887"
"21","rrt","all","0","3","vasopressor","0.0492865966957351","0.0318458106924962","0.0667273826989739","3.04481019666334e-08","7886"
"22","rrt","all","4","6","mech_vent","0.0647484408099451","0.044500696274327","0.0849961853455632","3.66401772547758e-10","15555"
"23","rrt","all","4","6","rrt","0.0839683936745639","0.0608105650651564","0.107126222283971","1.18764517479501e-12","11755"
"24","rrt","all","4","6","vasopressor","0.0475173223420198","0.0170192346906168","0.0780154099934227","0.00225990039322974","6459"
"25","rrt","all","7","10","mech_vent","0.051473900861833","0.0264811827771159","0.0764666189465501","5.42014714811372e-05","9204"
"26","rrt","all","7","10","rrt","0.0272879078950059","-0.00692398835224257","0.0614998041422544","0.11797626182053","5808"
"27","rrt","all","7","10","vasopressor","0.0226626517059967","-0.0159043624223312","0.0612296658343246","0.249431932162914","3657"
"28","rrt","all","11","24","mech_vent","0.0245451210611642","-0.011647047473093","0.0607372895954215","0.183765529145107","3145"
"29","rrt","all","11","24","rrt","-0.0299780790696754","-0.0867828391961768","0.026826681056826","0.300964085434014","1533"
"30","rrt","all","11","24","vasopressor","0.0403851194665253","-0.0153248732691882","0.0960951122022389","0.155364072111308","1392"
"31","vasopressor","all","0","24","mech_vent","0.0579332621914362","0.0510086850502836","0.0648578393325888","1.97648560892021e-60","43441"
"32","vasopressor","all","0","24","rrt","0.076706487781854","0.0692926554540279","0.08412032010968","1.97308292050836e-91","34983"
"33","vasopressor","all","0","24","vasopressor","0.068228638052701","0.0586707380084054","0.0777865380969967","1.75984997519341e-44","19394"
"34","vasopressor","all","0","3","mech_vent","0.0380364971589463","0.028769759321158","0.0473032349967347","8.61976693068834e-16","15537"
"35","vasopressor","all","0","3","rrt","0.051378234744344","0.0417647444153231","0.0609917250733649","1.1253402821363e-25","15887"
"36","vasopressor","all","0","3","vasopressor","0.0393499097655896","0.0273900349150962","0.0513097846160829","1.12802531394743e-10","7886"
"37","vasopressor","all","4","6","mech_vent","0.053565760728759","0.0438829937119848","0.0632485277455332","2.15621955755263e-27","15555"
"38","vasopressor","all","4","6","rrt","0.0769950384372005","0.0652919475214762","0.0886981293529248","4.80839463998529e-38","11755"
"39","vasopressor","all","4","6","vasopressor","0.0669905432292093","0.0526446710808494","0.0813364153775693","5.55997198150979e-20","6459"
"40","vasopressor","all","7","10","mech_vent","0.062840796044083","0.0449146124542665","0.0807669796338994","6.38244247291061e-12","9204"
"41","vasopressor","all","7","10","rrt","0.110515394380916","0.0884725292086443","0.132558259553188","8.63434427169947e-23","5808"
"42","vasopressor","all","7","10","vasopressor","0.104301446828952","0.077528742144014","0.13107415151389","2.24434362377355e-14","3657"
"43","vasopressor","all","11","24","mech_vent","0.108043009330956","0.0539134159094173","0.162172602752495","9.14695958139832e-05","3145"
