"outcome","treatment","cohort","has_cancer","prob_mort_start","prob_mort_end","ATE","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights","RR"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0","0.06","0.103028607258978","0.0373498970909462","0.168707317427011","0.00210781731187364","460","SL.glm SL.mean","0.375939537796999 0.624060462203001","0.515336838520697 0.484663161479303","2.59715631758646"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0.06","0.11","0.0871479750664121","0.021374049195081","0.152921900937743","0.00940621323983969","485","SL.glm SL.mean","0.479216525992536 0.520783474007464","0.667339563446365 0.332660436553635","1.89906947864825"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0.11","0.21","0.0788855065340517","-0.00128534053342846","0.159056353601532","0.0537834879427917","525","SL.glm SL.mean","0.518249749868597 0.481750250131403","0.889263587731942 0.110736412268058","1.38109318015205"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0.21","1","0.0988744040974384","0.0351570179402045","0.162591790254672","0.00235434449408714","800","SL.glm SL.mean","0.838053206377274 0.161946793622726","0.820877601692949 0.179122398307051","1.301166112715"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0","1","0.0776734594616505","0.0410812191544191","0.114265699768882","3.176289656527e-05","2270","SL.glm SL.mean","0.918041128293542 0.0819588717064584","0.966187362350376 0.0338126376496245","1.39440410563091"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0","0.06","-0.059836242445421","-0.15837773701019","0.0387052521193483","0.233987937900882","460","SL.glm SL.mean","0.121209217855276 0.878790782144724","0 1","0.888823111130972"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0.06","0.11","-0.090215328148196","-0.184036789158981","0.00360613286258933","0.0594750526965615","485","SL.glm SL.mean","0 1","0.170228095939931 0.829771904060069","0.829015185103652"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0.11","0.21","0.011718161432671","-0.0758297001118431","0.099266022977185","0.793056768860138","525","SL.glm SL.mean","0.0608458066313495 0.93915419336865","0 1","1.02370582136629"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0.21","1","0.0230954152061272","-0.049356478538046","0.0955473089503004","0.532110751021957","800","SL.glm SL.mean","0 1","0 1","1.04560614237455"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0","1","-0.0174929490658924","-0.0588374052615706","0.0238515071297858","0.406945307532396","2270","SL.glm SL.mean","0 1","0.864217810212341 0.135782189787659","0.966243982335282"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0","0.06","-0.269758233639861","-0.357556380580277","-0.181960086699446","1.72205825443082e-09","460","SL.glm SL.mean","0.0319329578378277 0.968067042162172","0 1","0.483140660075612"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0.06","0.11","-0.2151610965501","-0.374907373501128","-0.0554148195990713","0.00829281151253152","485","SL.glm SL.mean","0.0715770099392174 0.928422990060783","0 1","0.573482394520776"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0.11","0.21","0.0635893208019929","-0.11850494385871","0.245683585462696","0.493688801142446","525","SL.glm SL.mean","0.140107524995563 0.859892475004437","0 1","1.12811222175534"
