"outcome","treatment","cohort","has_cancer","prob_mort_start","prob_mort_end","ATE","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights","RR"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0","1","0.021257981547848","-0.0180590649466774","0.0605750280423735","0.28926524962422","3875","SL.glm SL.mean","0.949779370876232 0.0502206291237682","0.992637289747742 0.00736271025225782","1.06150337999845"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0","0.06","-0.0637678494838278","-0.205366191650864","0.0778304926832079","0.377413159280929","841","SL.glm SL.mean","0.239851854941097 0.760148145058903","0 1","0.873260699519716"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0.06","0.11","0.0644461091445119","-0.00632231600184102","0.135214534290865","0.0742779699303173","1050","SL.glm SL.mean","0.0698108717196576 0.930189128280342","0 1","1.13931933039945"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0.11","0.21","0.019501930549282","-0.0595613915491955","0.0985652526477594","0.628770679527201","943","SL.glm SL.mean","0 1","1 0","1.03997425206242"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0.21","1","0.00691826666754103","-0.0605915749872907","0.0744281083223728","0.840810641615034","1041","SL.glm SL.mean","0.0112331456030954 0.988766854396905","0 1","1.01429390915059"
"odd_hour","mv_elig","cancer_vs_nocancer","1","0","1","0.0287751090091778","-0.00394489951803276","0.0614951175363884","0.0847634781047123","3875","SL.glm SL.mean","0 1","0 1","1.05961394384264"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0","0.06","0.0654587773989682","-0.0569842023954873","0.187901757193424","0.294717780266879","841","SL.glm SL.mean","0.198452949243166 0.801547050756834","0.184982735112219 0.815017264887781","1.13127003873896"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0.06","0.11","-0.1143773635364","-0.22644887329829","-0.00230585377450934","0.0454649984488427","1050","SL.glm SL.mean","0.134291254658885 0.865708745341115","0 1","0.762670775322042"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0.11","0.21","-0.0565633053250048","-0.197921532219452","0.0847949215694423","0.432877292033907","943","SL.glm SL.mean","0 1","0 1","0.889220321952515"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0.21","1","-0.00579632729644547","-0.100223776306211","0.0886311217133202","0.904235610508061","1041","SL.glm SL.mean","0 1","0 1","0.988161875158523"
"odd_hour","rrt_elig","cancer_vs_nocancer","1","0","1","-0.0240606236503146","-0.084004107853853","0.0358828605532239","0.431444968591682","3875","SL.glm SL.mean","0 1","0.884794149982978 0.115205850017022","0.951294030541085"
"odd_hour","vp_elig","cancer_vs_nocancer","1","0","0.06","0.00114378718124242","-0.0760510706720179","0.0783386450345027","0.976831818693566","841","SL.glm SL.mean","0.338392006119711 0.661607993880289","0.64447385914629 0.35552614085371","1.0022706342927"
